number,name,altitude,terrain_diff,physical_diff,length,url,region_id,lat,lng,volcano_rank,eruption_alert,hike_season_start,hike_season_end,maple_season_end,maple_season_start,snow_season_start,snow_season_end,remaining_snow_start,remaining_snow_end
4,阿寒岳,1499,★,★,前夜泊日帰り,hundred_mt_individually_data/basic_data/basic_data-004.html,2,43.454064,144.164617,,,5月中旬,10月中旬,10月上旬,9月上旬,9月上旬,10月上旬,9月上旬,10月上旬
17,朝日連峰,1870,★★,★★★,2泊3日,hundred_mt_individually_data/basic_data/basic_data-017.html,3,38.260509440793,139.92226187172,,,6月中旬,10月中旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
31,日光白根山,2578,★★,★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-031.html,7,36.798584896766,139.37591972094,,,6月中旬,10月下旬,9月下旬,9月上旬,9月上旬,9月下旬,9月上旬,9月下旬
51,丹沢,1567,★★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-051.html,12,35.474288725363,139.16264826327,,,6月上旬,9月上旬,10月下旬,10月上旬,10月上旬,10月下旬,10月上旬,10月下旬
64,穂高岳,3190,★★★,★★★,2泊3日,hundred_mt_individually_data/basic_data/basic_data-064.html,13,36.289202464621,137.64799423682,,,7月中旬,9月下旬,9月下旬,9月上旬,9月上旬,9月下旬,9月上旬,9月下旬
5,大雪山,2290,★★,★★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-005.html,2,43.663599913915,142.85415458337,,,6月下旬,9月下旬,9月中旬,8月下旬,8月下旬,9月中旬,8月下旬,9月中旬
7,十勝岳,2077,★★,★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-007.html,2,43.4178263356,142.68631875268,,,6月中旬,10月上旬,9月中旬,8月下旬,8月下旬,9月中旬,8月下旬,9月中旬
8,幌尻岳,2052,★★★,★★★,2泊3日,hundred_mt_individually_data/basic_data/basic_data-008.html,2,42.719438449067,142.68291340083,,,7月中旬,10月下旬,10月中旬,8月中旬,8月中旬,10月中旬,8月中旬,10月中旬
10,岩木山,1625,★,★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-010.html,3,40.655916290176,140.30306875268,,,6月上旬,10月下旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
12,八幡平,1613,★,★,日帰り,hundred_mt_individually_data/basic_data/basic_data-012.html,3,39.957791884313,140.85404596961,,,6月上旬,10月上旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
13,岩手山,2038,★★,★★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-013.html,3,39.852645911942,141.00101187173,,,6月上旬,10月上旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
14,早池峰山,1917,★★,★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-014.html,3,39.55838307551,141.48901304369,,,6月上旬,10月上旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
16,月山,1980,★★,★,日帰り,hundred_mt_individually_data/basic_data/basic_data-016.html,3,38.549461707135,140.02702700931,,,7月上旬,9月下旬,10月中旬,8月下旬,8月下旬,10月中旬,8月下旬,10月中旬
18,蔵王山,1841,★,★,日帰り,hundred_mt_individually_data/basic_data/basic_data-018.html,3,38.143643505717,140.43941105691,,,6月上旬,10月下旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
19,飯豊連峰,2105,★★★,★★★,2泊3日,hundred_mt_individually_data/basic_data/basic_data-019.html,3,37.854914255114,139.70701819184,,,6月上旬,10月上旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
21,安達太良山,1700,★★,★,日帰り,hundred_mt_individually_data/basic_data/basic_data-021.html,3,37.621148897612,140.28787155953,,,5月中旬,10月下旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
